"","Competition_Name","Country","Team","Opp","Venue","HomeGoals","AwayGoals","Result","Diff"
"176","Premier League","ENG","Wolves","Manchester Utd","H",2,0,"W",2
"177","Premier League","ENG","Liverpool","Leicester City","H",3,1,"W",2
"178","Premier League","ENG","Brighton","Brentford","H",0,0,"D",0
"179","Premier League","ENG","Arsenal","Ipswich Town","H",1,0,"W",1
"180","Premier League","ENG","Leicester City","Manchester City","H",0,2,"L",-2
"181","Premier League","ENG","Everton","Nott'ham Forest","H",0,2,"L",-2
"182","Premier League","ENG","Tottenham","Wolves","H",2,2,"D",0
"183","Premier League","ENG","Fulham","Bournemouth","H",2,2,"D",0
"184","Premier League","ENG","Crystal Palace","Southampton","H",2,1,"W",1
"185","Premier League","ENG","West Ham","Liverpool","H",0,5,"L",-5
"186","Premier League","ENG","Aston Villa","Brighton","H",2,2,"D",0
"187","Premier League","ENG","Ipswich Town","Chelsea","H",2,0,"W",2
"188","Premier League","ENG","Manchester Utd","Newcastle Utd","H",0,2,"L",-2
"189","Premier League","ENG","Brentford","Arsenal","H",1,3,"L",-2
"190","Premier League","ENG","Tottenham","Newcastle Utd","H",1,2,"L",-1
"191","Premier League","ENG","Aston Villa","Leicester City","H",2,1,"W",1
"192","Premier League","ENG","Bournemouth","Everton","H",1,0,"W",1
"193","Premier League","ENG","Crystal Palace","Chelsea","H",1,1,"D",0
"194","Premier League","ENG","Southampton","Brentford","H",0,5,"L",-5
"195","Premier League","ENG","Manchester City","West Ham","H",4,1,"W",3
"196","Premier League","ENG","Brighton","Arsenal","H",1,1,"D",0
"197","Premier League","ENG","Fulham","Ipswich Town","H",2,2,"D",0
"198","Premier League","ENG","Liverpool","Manchester Utd","H",2,2,"D",0
"199","Premier League","ENG","Wolves","Nott'ham Forest","H",0,3,"L",-3
"200","Premier League","ENG","West Ham","Fulham","H",3,2,"W",1
"201","Premier League","ENG","Chelsea","Bournemouth","H",2,2,"D",0
"202","Premier League","ENG","Brentford","Manchester City","H",2,2,"D",0
"203","Premier League","ENG","Nott'ham Forest","Liverpool","H",1,1,"D",0
"204","Premier League","ENG","Leicester City","Crystal Palace","H",0,2,"L",-2
"205","Premier League","ENG","Everton","Aston Villa","H",0,1,"L",-1
"206","Premier League","ENG","Newcastle Utd","Wolves","H",3,0,"W",3
"207","Premier League","ENG","Arsenal","Tottenham","H",2,1,"W",1
"208","Premier League","ENG","Ipswich Town","Brighton","H",0,2,"L",-2
"209","Premier League","ENG","Manchester Utd","Southampton","H",3,1,"W",2
"210","Premier League","ENG","Newcastle Utd","Bournemouth","H",1,4,"L",-3
"211","Premier League","ENG","Leicester City","Fulham","H",0,2,"L",-2
"212","Premier League","ENG","West Ham","Crystal Palace","H",0,2,"L",-2
"213","Premier League","ENG","Brentford","Liverpool","H",0,2,"L",-2
"214","Premier League","ENG","Arsenal","Aston Villa","H",2,2,"D",0
"215","Premier League","ENG","Everton","Tottenham","H",3,2,"W",1
"216","Premier League","ENG","Manchester Utd","Brighton","H",1,3,"L",-2
"217","Premier League","ENG","Nott'ham Forest","Southampton","H",3,2,"W",1
"218","Premier League","ENG","Ipswich Town","Manchester City","H",0,6,"L",-6
"219","Premier League","ENG","Chelsea","Wolves","H",3,1,"W",2
"220","Premier League","ENG","Southampton","Newcastle Utd","H",1,3,"L",-2
"221","Premier League","ENG","Brighton","Everton","H",0,1,"L",-1
"222","Premier League","ENG","Liverpool","Ipswich Town","H",4,1,"W",3
"223","Premier League","ENG","Bournemouth","Nott'ham Forest","H",5,0,"W",5
"224","Premier League","ENG","Wolves","Arsenal","H",0,1,"L",-1
"225","Premier League","ENG","Manchester City","Chelsea","H",3,1,"W",2
"226","Premier League","ENG","Crystal Palace","Brentford","H",1,2,"L",-1
"227","Premier League","ENG","Tottenham","Leicester City","H",1,2,"L",-1
"228","Premier League","ENG","Aston Villa","West Ham","H",1,1,"D",0
"229","Premier League","ENG","Fulham","Manchester Utd","H",0,1,"L",-1
"230","Premier League","ENG","Nott'ham Forest","Brighton","H",7,0,"W",7
"231","Premier League","ENG","Everton","Leicester City","H",4,0,"W",4
"232","Premier League","ENG","Newcastle Utd","Fulham","H",1,2,"L",-1
"233","Premier League","ENG","Bournemouth","Liverpool","H",0,2,"L",-2
"234","Premier League","ENG","Ipswich Town","Southampton","H",1,2,"L",-1
"235","Premier League","ENG","Wolves","Aston Villa","H",2,0,"W",2
"236","Premier League","ENG","Manchester Utd","Crystal Palace","H",0,2,"L",-2
"237","Premier League","ENG","Brentford","Tottenham","H",0,2,"L",-2
"238","Premier League","ENG","Arsenal","Manchester City","H",5,1,"W",4
"239","Premier League","ENG","Chelsea","West Ham","H",2,1,"W",1
"240","Premier League","ENG","Everton","Liverpool","H",2,2,"D",0
"241","Premier League","ENG","Brighton","Chelsea","H",3,0,"W",3
"242","Premier League","ENG","Leicester City","Arsenal","H",0,2,"L",-2
"243","Premier League","ENG","Fulham","Nott'ham Forest","H",2,1,"W",1
"244","Premier League","ENG","Manchester City","Newcastle Utd","H",4,0,"W",4
"245","Premier League","ENG","Southampton","Bournemouth","H",1,3,"L",-2
"246","Premier League","ENG","Aston Villa","Ipswich Town","H",1,1,"D",0
"247","Premier League","ENG","West Ham","Brentford","H",0,1,"L",-1
"248","Premier League","ENG","Crystal Palace","Everton","H",1,2,"L",-1
"249","Premier League","ENG","Liverpool","Wolves","H",2,1,"W",1
"250","Premier League","ENG","Tottenham","Manchester Utd","H",1,0,"W",1
"251","Premier League","ENG","Aston Villa","Liverpool","H",2,2,"D",0
"252","Premier League","ENG","Leicester City","Brentford","H",0,4,"L",-4
"253","Premier League","ENG","Everton","Manchester Utd","H",2,2,"D",0
"254","Premier League","ENG","Fulham","Crystal Palace","H",0,2,"L",-2
"255","Premier League","ENG","Bournemouth","Wolves","H",0,1,"L",-1
"256","Premier League","ENG","Ipswich Town","Tottenham","H",1,4,"L",-3
"257","Premier League","ENG","Arsenal","West Ham","H",0,1,"L",-1
"258","Premier League","ENG","Southampton","Brighton","H",0,4,"L",-4
"259","Premier League","ENG","Aston Villa","Chelsea","H",2,1,"W",1
"260","Premier League","ENG","Newcastle Utd","Nott'ham Forest","H",4,3,"W",1
"261","Premier League","ENG","Manchester City","Liverpool","H",0,2,"L",-2
"262","Premier League","ENG","Brighton","Bournemouth","H",2,1,"W",1
"263","Premier League","ENG","Crystal Palace","Aston Villa","H",4,1,"W",3
"264","Premier League","ENG","Wolves","Fulham","H",1,2,"L",-1
"265","Premier League","ENG","Chelsea","Southampton","H",4,0,"W",4
"266","Premier League","ENG","Tottenham","Manchester City","H",0,1,"L",-1
"267","Premier League","ENG","Nott'ham Forest","Arsenal","H",0,0,"D",0
"268","Premier League","ENG","Manchester Utd","Ipswich Town","H",3,2,"W",1
"269","Premier League","ENG","Brentford","Everton","H",1,1,"D",0
"270","Premier League","ENG","Liverpool","Newcastle Utd","H",2,0,"W",2
"271","Premier League","ENG","West Ham","Leicester City","H",2,0,"W",2
"272","Premier League","ENG","Nott'ham Forest","Manchester City","H",1,0,"W",1
"273","Premier League","ENG","Liverpool","Southampton","H",3,1,"W",2
"274","Premier League","ENG","Brighton","Fulham","H",2,1,"W",1
"275","Premier League","ENG","Crystal Palace","Ipswich Town","H",1,0,"W",1
"276","Premier League","ENG","Brentford","Aston Villa","H",0,1,"L",-1
"277","Premier League","ENG","Wolves","Everton","H",1,1,"D",0
"278","Premier League","ENG","Chelsea","Leicester City","H",1,0,"W",1
"279","Premier League","ENG","Tottenham","Bournemouth","H",2,2,"D",0
"280","Premier League","ENG","Manchester Utd","Arsenal","H",1,1,"D",0
"281","Premier League","ENG","West Ham","Newcastle Utd","H",0,1,"L",-1
"282","Premier League","ENG","Everton","West Ham","H",1,1,"D",0
"283","Premier League","ENG","Southampton","Wolves","H",1,2,"L",-1
"284","Premier League","ENG","Ipswich Town","Nott'ham Forest","H",2,4,"L",-2
"285","Premier League","ENG","Manchester City","Brighton","H",2,2,"D",0
"286","Premier League","ENG","Bournemouth","Brentford","H",1,2,"L",-1
"287","Premier League","ENG","Arsenal","Chelsea","H",1,0,"W",1
"288","Premier League","ENG","Fulham","Tottenham","H",2,0,"W",2
"289","Premier League","ENG","Leicester City","Manchester Utd","H",0,3,"L",-3
"290","Premier League","ENG","Arsenal","Fulham","H",2,1,"W",1
"291","Premier League","ENG","Wolves","West Ham","H",1,0,"W",1
"292","Premier League","ENG","Nott'ham Forest","Manchester Utd","H",1,0,"W",1
"293","Premier League","ENG","Newcastle Utd","Brentford","H",2,1,"W",1
"294","Premier League","ENG","Manchester City","Leicester City","H",2,0,"W",2
"295","Premier League","ENG","Southampton","Crystal Palace","H",1,1,"D",0
"296","Premier League","ENG","Bournemouth","Ipswich Town","H",1,2,"L",-1
"297","Premier League","ENG","Brighton","Aston Villa","H",0,3,"L",-3
"298","Premier League","ENG","Liverpool","Everton","H",1,0,"W",1
"299","Premier League","ENG","Chelsea","Tottenham","H",1,0,"W",1
"300","Premier League","ENG","Everton","Arsenal","H",1,1,"D",0
"301","Premier League","ENG","Crystal Palace","Brighton","H",2,1,"W",1
"302","Premier League","ENG","Ipswich Town","Wolves","H",1,2,"L",-1
"303","Premier League","ENG","West Ham","Bournemouth","H",2,2,"D",0
"304","Premier League","ENG","Aston Villa","Nott'ham Forest","H",2,1,"W",1
"305","Premier League","ENG","Fulham","Liverpool","H",3,2,"W",1
"306","Premier League","ENG","Brentford","Chelsea","H",0,0,"D",0
"307","Premier League","ENG","Tottenham","Southampton","H",3,1,"W",2
"308","Premier League","ENG","Manchester Utd","Manchester City","H",0,0,"D",0
"309","Premier League","ENG","Leicester City","Newcastle Utd","H",0,3,"L",-3
"310","Premier League","ENG","Manchester City","Crystal Palace","H",5,2,"W",3
"311","Premier League","ENG","Brighton","Leicester City","H",2,2,"D",0
"312","Premier League","ENG","Southampton","Aston Villa","H",0,3,"L",-3
"313","Premier League","ENG","Nott'ham Forest","Everton","H",0,1,"L",-1
"314","Premier League","ENG","Arsenal","Brentford","H",1,1,"D",0
"315","Premier League","ENG","Liverpool","West Ham","H",2,1,"W",1
"316","Premier League","ENG","Chelsea","Ipswich Town","H",2,2,"D",0
"317","Premier League","ENG","Wolves","Tottenham","H",4,2,"W",2
"318","Premier League","ENG","Newcastle Utd","Manchester Utd","H",4,1,"W",3
"319","Premier League","ENG","Bournemouth","Fulham","H",1,0,"W",1
"320","Premier League","ENG","Newcastle Utd","Crystal Palace","H",5,0,"W",5
"321","Premier League","ENG","Everton","Manchester City","H",0,2,"L",-2
"322","Premier League","ENG","West Ham","Southampton","H",1,1,"D",0
"323","Premier League","ENG","Crystal Palace","Bournemouth","H",0,0,"D",0
"324","Premier League","ENG","Brentford","Brighton","H",4,2,"W",2
"325","Premier League","ENG","Aston Villa","Newcastle Utd","H",4,1,"W",3
"326","Premier League","ENG","Fulham","Chelsea","H",1,2,"L",-1
"327","Premier League","ENG","Ipswich Town","Arsenal","H",0,4,"L",-4
"328","Premier League","ENG","Manchester Utd","Wolves","H",0,1,"L",-1
"329","Premier League","ENG","Leicester City","Liverpool","H",0,1,"L",-1
"330","Premier League","ENG","Tottenham","Nott'ham Forest","H",1,2,"L",-1
"331","Premier League","ENG","Manchester City","Aston Villa","H",2,1,"W",1
"332","Premier League","ENG","Arsenal","Crystal Palace","H",2,2,"D",0
"333","Premier League","ENG","Chelsea","Everton","H",1,0,"W",1
"334","Premier League","ENG","Brighton","West Ham","H",3,2,"W",1
"335","Premier League","ENG","Wolves","Leicester City","H",3,0,"W",3
"336","Premier League","ENG","Southampton","Fulham","H",1,2,"L",-1
"337","Premier League","ENG","Newcastle Utd","Ipswich Town","H",3,0,"W",3
"338","Premier League","ENG","Bournemouth","Manchester Utd","H",1,1,"D",0
"339","Premier League","ENG","Liverpool","Tottenham","H",5,1,"W",4
"340","Premier League","ENG","Nott'ham Forest","Brentford","H",0,2,"L",-2
"341","Premier League","ENG","Manchester City","Wolves","H",1,0,"W",1
"342","Premier League","ENG","Aston Villa","Fulham","H",1,0,"W",1
"343","Premier League","ENG","Leicester City","Southampton","H",2,0,"W",2
"344","Premier League","ENG","Everton","Ipswich Town","H",2,2,"D",0
"345","Premier League","ENG","Arsenal","Bournemouth","H",1,2,"L",-1
"346","Premier League","ENG","Brighton","Newcastle Utd","H",1,1,"D",0
"347","Premier League","ENG","West Ham","Tottenham","H",1,1,"D",0
"348","Premier League","ENG","Brentford","Manchester Utd","H",4,3,"W",1
"349","Premier League","ENG","Chelsea","Liverpool","H",3,1,"W",2
"350","Premier League","ENG","Crystal Palace","Nott'ham Forest","H",1,1,"D",0
"351","Premier League","ENG","Ipswich Town","Brentford","H",0,1,"L",-1
"352","Premier League","ENG","Fulham","Everton","H",1,3,"L",-2
"353","Premier League","ENG","Wolves","Brighton","H",0,2,"L",-2
"354","Premier League","ENG","Southampton","Manchester City","H",0,0,"D",0
"355","Premier League","ENG","Bournemouth","Aston Villa","H",0,1,"L",-1
"356","Premier League","ENG","Newcastle Utd","Chelsea","H",2,0,"W",2
"357","Premier League","ENG","Nott'ham Forest","Leicester City","H",2,2,"D",0
"358","Premier League","ENG","Tottenham","Crystal Palace","H",0,2,"L",-2
"359","Premier League","ENG","Manchester Utd","West Ham","H",0,2,"L",-2
"360","Premier League","ENG","Liverpool","Arsenal","H",2,2,"D",0
"361","Premier League","ENG","Aston Villa","Tottenham","H",2,0,"W",2
"362","Premier League","ENG","Chelsea","Manchester Utd","H",1,0,"W",1
"363","Premier League","ENG","Everton","Southampton","H",2,0,"W",2
"364","Premier League","ENG","West Ham","Nott'ham Forest","H",1,2,"L",-1
"365","Premier League","ENG","Brentford","Fulham","H",2,3,"L",-1
"366","Premier League","ENG","Leicester City","Ipswich Town","H",2,0,"W",2
